image_id,assigned_rule_id,primary_class,attributed_phrase,n_generated_tokens,topk5_mass_ratio,topk20_mass_ratio,regions_above_0.5,n_cells,excluded_reason,box_area,box_mass_ratio,box_mass_inside,gini
0000007,rule_1,ppe_violation,worker,7,0.08549590373244406,0.20319638848646643,1.0,576.0,,837285.8808551254,1.5146034631070546,0.49697926133200226,0.4965287159695231
0000022,rule_3,compliant,guardrail,16,0.06255379478588072,0.20285917357183375,19.0,576.0,,594136.9061678806,1.074594722630051,0.9402703823012947,0.6094974830803903
0000023,rule_1,compliant,hard hat,8,0.24862632840332566,0.39721430523684,2.0,576.0,,224.64002929627895,45.28269575612672,0.1572315824865511,0.6925755342037243
0000034,rule_2,compliant,worker,7,0.09914506342477286,0.23523723951606934,4.0,576.0,,15286.5,5.844686022779786,0.21308751124717973,0.5761794918619965
0000037,rule_1,compliant,worker,7,0.08781860209183374,0.22118290546946895,3.0,576.0,,34020.0,3.970608120791484,0.24816300754946774,0.5575497975924255
0000057,rule_1,compliant,worker,7,0.1328690549396777,0.3051287253726235,1.0,576.0,,3801.5996704101562,11.42253768126481,0.11898476751317509,0.6114816522573303
0000069,rule_1,compliant,worker,7,0.0960425922586083,0.2433090200219878,8.0,576.0,,10777.802866015583,7.857917698607204,0.1637066187209834,0.6283772018541189
0000074,rule_2,compliant,worker,7,0.12334371028915107,0.2752338654919549,3.0,576.0,,2474.2804064936936,16.76927991502749,0.08733999955743484,0.6355288758509585
0000079,rule_3,fall_hazard,guardrail,8,0.05808078848671762,0.15791557927833358,3.0,576.0,,262992.94684046565,1.6881170953366684,0.49236748613986164,0.5678229001361197
0000081,rule_3,compliant,guardrail,8,0.08785756707498221,0.21923756233131822,9.0,576.0,,592811.9996952272,1.2511514398817334,0.7298383399310112,0.6056142757007106
0000102,rule_1,ppe_violation,worker,7,0.12453289194788394,0.3147470894915573,9.0,576.0,,11906.99394378718,11.330928657130986,0.1967175114085241,0.6453671506884275
0000116,rule_1,ppe_violation,worker,7,0.07454252161128871,0.17958139209695698,9.0,576.0,,706118.4261929989,1.5676247115125592,0.3891846071984305,0.4965470852181946
0000117,rule_3,fall_hazard,guardrail,12,0.0852083451276583,0.23076810871928582,2.0,576.0,,711278.5551095277,1.3442417440554761,0.7841410173656944,0.6474740834278034
0000120,rule_4,struck_by_risk,excavator,9,0.07329977113110171,0.210742474201812,13.0,576.0,,79306.5536535643,2.4488009355825984,0.23807786873719705,0.6006072256421313
0000124,rule_2,compliant,worker,7,0.06118837664315252,0.17911301987554698,15.0,576.0,,67305.59582519531,2.7455029775716153,0.21449242012278244,0.5233195394807584
0000129,rule_1,compliant,worker,7,0.05659522956148112,0.15427124119130864,13.0,576.0,,167151.6062347407,1.7668657040831894,0.33128731951559803,0.42424887733430205
0000149,rule_2,fall_hazard,worker,7,0.08741954914991432,0.22813062864213854,4.0,576.0,,18831.251375719905,4.931674191641483,0.20548642465172845,0.531911361792796
0000183,rule_1,compliant,worker,7,0.13833670381456467,0.29205271419682016,1.0,576.0,,1116.7181286625564,15.279528587406194,0.10610783741254301,0.6594839060080353
0000203,rule_3,fall_hazard,guardrail,8,0.12857485115895315,0.2964269105770927,9.0,576.0,,42162.103145019115,3.5433198069210277,0.27067026302868963,0.6327394012941365
0000204,rule_1,compliant,hard hat,8,0.06680746092459895,0.17281670817692124,6.0,576.0,,468255.61537270306,1.1024953972036766,0.5282790444934284,0.45703605638757017
0000205,rule_4,compliant,excavator,9,0.04291955927489182,0.14047025972130783,44.0,576.0,,680186.1802862529,1.051230256530706,0.7008201710204706,0.5288500997780525
0000229,rule_1,ppe_violation,worker,7,0.09638065498664591,0.2483537848646521,8.0,576.0,,8675.093078613281,7.162240430073384,0.1492133422931955,0.6123555824136366
0000233,rule_1,ppe_violation,worker,7,0.10215442478341889,0.2260013491414871,4.0,576.0,,3100.6793971252628,9.818976467429387,0.1022810048690561,0.576530542381813
0000253,rule_3,fall_hazard,,0,,,,,grid_fallback_no_box,,,,
0000254,rule_3,compliant,guardrail,8,0.080844572550736,0.2337381444107754,3.0,576.0,,432267.8434487898,1.3058983962024944,0.5713305483385913,0.6686846259199875
0000280,rule_2,compliant,safety harness,8,0.054174500809307524,0.15772275367297023,12.0,576.0,,326357.68258072017,1.3265129096954826,0.45598881270782216,0.45050543750855465
0000288,rule_2,compliant,worker,7,0.06755552408745215,0.1838134293487639,9.0,576.0,,114380.64944091812,2.5524118514787735,0.3589329166142025,0.5042800552161804
