image_id,assigned_rule_id,primary_class,attributed_phrase,n_generated_tokens,topk5_mass_ratio,topk20_mass_ratio,regions_above_0.5,excluded_reason
0003067,rule_1,ppe_violation,worker,7,0.11180190926369765,0.22683199281086988,4.0,
0003071,rule_1,ppe_violation,worker,7,0.05079804906678882,0.1549244704359805,23.0,
0003088,rule_4,struck_by_risk,excavator,9,0.06289048281749395,0.18088495120001982,5.0,
0003164,rule_1,ppe_violation,worker,7,0.08873299284863909,0.24111302674593044,13.0,
0003206,rule_1,ppe_violation,worker,7,0.13827300341614665,0.3548097752222899,9.0,
0003302,rule_1,ppe_violation,worker,7,0.2486208046595691,0.460540559942941,5.0,
0003339,rule_1,ppe_violation,worker,7,0.07244984731557003,0.19729008659625324,4.0,
0003429,rule_1,ppe_violation,worker,7,0.07462122547667839,0.1880286439148232,4.0,
0003479,rule_2,fall_hazard,worker,7,0.10170437053272616,0.22090048429230058,5.0,
0003516,rule_1,ppe_violation,worker,7,0.17656546709587212,0.31035290893888234,2.0,
0003613,rule_3,fall_hazard,guardrail,14,0.0809522096437436,0.1893840242128892,6.0,
0003632,rule_2,fall_hazard,safety harness,8,0.13133889988191838,0.2722197777751622,6.0,
0003813,rule_4,struck_by_risk,excavator,9,0.0927122619565263,0.2199125873590439,3.0,
0003922,rule_1,ppe_violation,hard hat,8,0.2205478106997679,0.3569577565297079,1.0,
0003928,rule_1,ppe_violation,worker,7,0.13385638478723696,0.2945786437028794,6.0,
0003943,rule_1,ppe_violation,worker,7,0.12889360648651002,0.2739813457290269,1.0,
0004032,rule_3,fall_hazard,guardrail,8,0.0960077703203122,0.26091173297330716,3.0,
0004171,rule_1,ppe_violation,worker,7,0.10254423922036764,0.25599440953355573,8.0,
0004196,rule_4,struck_by_risk,excavator,9,0.067485412664192,0.18859624051553037,11.0,
0004273,rule_1,ppe_violation,worker,7,0.1487224370270974,0.33592502610548214,6.0,
0004332,rule_1,ppe_violation,worker,7,0.06440570944195882,0.1829919843453485,13.0,
0004380,rule_1,ppe_violation,worker,7,0.13646776365911256,0.2994808718650538,5.0,
0004497,rule_1,ppe_violation,worker,7,0.14450292940920023,0.30418898340492384,6.0,
0004552,rule_3,fall_hazard,guardrail,12,0.14908778974042378,0.33599579515977473,7.0,
0004680,rule_1,ppe_violation,hard hat,8,0.25686433609828935,0.3899568276514616,1.0,
0004716,rule_1,ppe_violation,worker,7,0.1967484148838745,0.37741645586539013,3.0,
0004831,rule_2,fall_hazard,worker,7,0.13194210380814328,0.2574277414089455,1.0,
