image_id,assigned_rule_id,primary_class,perturbation,severity,location,answer_changed,object_box_iou,object_centroid_drift,object_disappeared,worker_lost,flip_due_to_worker_loss,confidence_drop
0000023,rule_1,compliant,occlude_targeted,,object,False,0.5462187895005238,0.0007999877930334261,False,False,False,-0.013163295108824968
0000034,rule_2,compliant,blur,4.0,-,True,0.0,0.3885669183036559,False,False,False,0.04534334423286579
0000034,rule_2,compliant,blur,8.0,-,False,0.003072276818165389,0.006248199740725323,False,False,False,0.04843102255836129
0000034,rule_2,compliant,blur,16.0,-,False,0.003072276818165389,0.006248199740725323,False,False,False,0.021599512117878694
0000034,rule_2,compliant,gamma,1.5,-,False,0.9807692307692307,0.0,False,False,False,0.0002395808031516733
0000034,rule_2,compliant,gamma,2.5,-,False,0.9807692307692307,0.0006,False,False,False,-0.0029941002306128617
0000034,rule_2,compliant,gamma,4.0,-,False,0.0,0.2569420362649911,False,False,False,0.03457559548717537
0000034,rule_2,compliant,contrast,0.15,-,False,0.9009812667261374,0.0005,False,False,False,-0.013193990103900433
0000034,rule_2,compliant,contrast,0.3,-,False,0.9901960784313726,0.0003,False,False,False,-0.006932558757918095
0000034,rule_2,compliant,contrast,0.5,-,False,0.9902912621359223,0.0003,False,False,False,-0.002883926100496703
0000034,rule_2,compliant,occlude,0.1,center,False,0.005214510653960983,0.1278625824860424,False,False,False,-0.013555725788479744
0000034,rule_2,compliant,occlude,0.1,random,False,0.9571895424836602,0.0005,False,False,False,0.004414381658924604
0000034,rule_2,compliant,occlude,0.2,center,False,0.005241251734237706,0.12876214505824296,False,False,False,-0.009511418640613556
0000034,rule_2,compliant,occlude,0.2,random,False,0.005241251734237706,0.12876214505824296,False,False,False,-0.05280079073937871
0000034,rule_2,compliant,occlude,0.35,center,False,0.003072276818165389,0.006248199740725323,False,False,False,0.0011906865762458807
0000034,rule_2,compliant,occlude,0.35,random,False,0.003072276818165389,0.006248199740725323,False,False,False,0.03746431472699174
0000034,rule_2,compliant,occlude_targeted,,object,False,0.5795454545454546,0.002408318915758459,False,False,False,-0.02569941384717822
0000037,rule_1,compliant,blur,4.0,-,True,0.0,0.41049318223685477,False,False,False,0.027523848095110437
0000037,rule_1,compliant,blur,8.0,-,True,0.0,0.4091014844122933,False,False,False,0.041158884098487114
0000037,rule_1,compliant,blur,16.0,-,True,0.0003785119207932375,0.4875063372619013,False,False,False,-0.11673127791493565
0000037,rule_1,compliant,gamma,1.5,-,True,0.0,0.4109137247370148,False,False,False,0.02279469517192667
0000037,rule_1,compliant,gamma,2.5,-,True,0.0,0.4109137247370148,False,False,False,0.02956862721059994
0000037,rule_1,compliant,gamma,4.0,-,True,0.0,0.41111003824719744,False,False,False,0.03837005501346924
