day,name,calls_per_sample,mean_ms_per_call,mean_ms_per_sample,observed_total_seconds,n_observed,extrapolated_1000_minutes,extrapolated_1000_hours
3,baseline_inference,1.0,271.1144110425004,271.1144110425004,44.191648999927565,163,4.518573517375007,0.07530955862291677
5,descriptive_accuracy_reruns,1.9447852760736197,271.1144110425004,525.7026638030046,85.68953419988975,163,8.76171106338341,0.14602851772305686
6,cross_attention_attribution,1.0,215.3291199977199,215.3291199977199,35.09864655962834,"15 calibration samples, scaled to 163",3.5888186666286654,0.059813644443811084
7,stability_sampled_reruns,3.0,259.3910800293088,778.1732400879264,126.842238134332,"15 calibration samples, scaled to 163",12.96955400146544,0.21615923335775733
